,uid,time_to_purchase,total_events,path,new_to_file
3032,rbos-645af1b3-a121-486f-800b-d5048b79d873,0.0,1,paid searchpurchase,1
3033,rbos-7539e164-c310-4521-969c-e1bc6619cf75,10168.0,4,paid searchpaid searchorganic searchorganic searchpurchase,1
3034,rbos-68807d73-bb1f-4159-9440-d382a14c94fb,804772.0,2,paid searchdirect mailpurchase,0
3035,rbos-848d6e78-74e0-470c-b552-de7b481c30aa,0.0,1,paid searchpurchase,1
3036,rbos-c214122b-0b1c-49fc-a1ff-4524fcbeda01,52441.0,4,paid searchpaid searchorganic searchnon paidpurchase,1
3037,rbos-e730a545-c420-4eb7-afc2-ade478e0e193,0.0,1,paid searchpurchase,1
3038,rbos-a3090309-721e-447b-b635-1507de9035e4,5488617.0,3,paid searchorganic searchorganic searchpurchase,0
3039,rbos-a3090309-721e-447b-b635-1507de9035e4,6263743.0,4,organic searchorganic searchorganic searchpaid searchpurchase,0
3040,rbos-c7cb16d2-0100-480a-b7c2-57abc6a8e40f,53.0,2,paid searchsmspurchase,1
3041,2505702991152493449,608511.0,3,paid searchdisplaydirect mailpurchase,0
3042,rbos-11f53341-19b8-4e0e-a270-2616a702d0dc,1581355.0,4,paid searchdirect maildirect maildirect mailpaid searchdirect maildirect maildirect mailpurchase,0
3043,rbos-e3fa5867-b3c7-4c85-982a-3d1bc1c30aea,0.0,1,paid searchpurchase,1
3044,5287921518507177739,204008.0,2,paid searchdisplaypurchase,1
3045,rbos-1f4b6f84-fdf5-4df2-8bb4-783e4a1775f2,0.0,1,displaypurchase,0
3046,rbos-56e116af-93c3-4028-ac79-ee70acbbbedc,-5945.0,3,displaydisplaydirect mailpurchase,0
3047,rbos-1c50fab4-32e0-49f8-abe2-1d6df2ac6756,1531824.0,5,displaypaid socialpaid socialpaid socialpaid socialpurchase,1
3048,rbos-4694d33e-3c1c-47b8-9c23-a6ce0e3ed56b,2531092.0,2,displaydirect mailpurchase,0
3049,rbos-7a22cd1f-701c-49f2-8fbb-5f7e59b84d8c,0.0,1,displaypurchase,1
3050,6589123484535472036,0.0,1,direct maildirect mailpurchase,1
3051,rbos-295a2bba-f2d6-4333-b198-8c1501ed3b21,0.0,1,direct mailpurchase,0
3052,rbos-8c3139db-6c4c-47b0-912c-79c31267acac,0.0,1,direct mailpurchase,0
3053,rbos-7774e4ca-21b9-4aa1-bff4-cac7a96e6666,1542005.0,2,direct mailnon paidpurchase,1
3054,rbos-25e0499c-337a-43e2-bbc9-7fa94bb8de95,0.0,1,direct mailpurchase,0
3055,rbos-c07be96a-fcd6-4284-9cb4-5b662b198cbe,0.0,2,direct maildirect mailpurchase,0
3056,rbos-b1255c85-3be0-4b67-84cf-d34b793ba3ad,693660.0,2,direct mailpaid socialpurchase,0
3057,rbos-6839a189-0fe6-4ba5-9011-f476b62ac264,0.0,1,direct mailpurchase,0
3058,rbos-8380e8a1-ee01-4ec2-b31b-406bbc0af24b,0.0,1,direct mailpurchase,0
3059,rbos-cedf8cdb-bc8c-45df-b03e-5bea29cf4652,1517185.0,2,direct mailorganic searchpurchase,0
3060,rbos-f3b5938d-d758-4d65-b15c-a156f34e326c,1134070.0,2,direct mailorganic searchpurchase,0
3061,rbos-b07f52f8-6498-4e0c-a782-6c91ed58ed50,0.0,2,direct mailsmspurchase,0
3062,rbos-f8e15a49-6350-4a3e-bf30-820f959bed14,8944935.0,2,direct maildirect mailpurchase,0
3063,rbos-99fd2a99-bc87-434f-a3ba-2ec48754ffea,0.0,1,direct mailpurchase,0
3064,rbos-2a666696-5f4c-4c0d-a581-c348b18f8715,1581013.0,2,direct mailpaid socialpurchase,0
3065,rbos-e1e9c4d3-1c5b-4f8d-bd78-73c75cee69db,1519991.0,2,direct mailorganic searchpurchase,0
3066,rbos-ff6eb9e2-1ae5-4b14-b799-85f4cc88c9e8,0.0,1,direct mailpurchase,0
3067,rbos-885329b7-0ac0-4a33-b815-9340433bed3f,1576774.0,3,direct mailpaid socialpaid socialpurchase,0
3068,rbos-4487a096-37df-4af9-8c1a-910c0c2038b1,1556731.0,2,direct mailpaid socialpurchase,0
3069,rbos-d8211138-e75c-462e-84ae-1fd680c84b5c,1562778.0,2,direct mailorganic searchpurchase,0
3070,rbos-b9e60a8d-500f-48de-b4ef-b1560afbac4a,0.0,1,direct mailpurchase,0
3071,rbos-21d61b22-dd43-4d54-a6a7-35a79bbd58bf,2308522.0,2,direct mailorganic searchpurchase,1
3072,rbos-d7efa516-93a3-4adb-99bb-6e1b6b930fb7,0.0,1,direct mailpurchase,1
3073,rbos-d3155930-f636-438f-8a10-e3077f3f2932,0.0,1,Directpurchase,0
3074,rbos-0231db6e-68e5-4e31-aa0a-84a48d577c6e,0.0,1,Directpurchase,1
3075,rbos-1248b91c-cbc8-420f-b707-7a68014baae3,0.0,1,Directpurchase,0
3076,rbos-289eb119-8772-4181-ab68-f56f247cd1cf,0.0,1,Directpurchase,0
3077,rbos-96c9e38a-ec42-40f4-9906-d7508ee96de8,0.0,1,Directpurchase,0
3078,rbos-cde97be6-51c8-457f-b311-f16df20a5345,0.0,1,Directpurchase,1
3079,rbos-03ff69db-1b7b-4da7-86a5-3b6642b91239,0.0,1,Directpurchase,1
3080,rbos-73fd57c8-0663-4415-8903-c3bc8db6ae96,0.0,1,Directpurchase,1
3081,rbos-e0b31a88-4700-4385-8334-1ee47dc5e55f,0.0,1,Directpurchase,1
3082,rbos-d51a2908-56d4-4a9b-ba0e-93692809e944,0.0,1,Directpurchase,1
3083,rbos-fce81f07-1598-4ef9-bf52-2667c2312c6c,0.0,1,Directpurchase,1
3084,5311941148690307446,0.0,1,Directpurchase,0
3085,rbos-58c36cb5-d717-4033-bfcf-a65db72bd686,0.0,1,Directpurchase,0
3086,rbos-452f65ec-0ebb-494b-8810-4fb6b3bdd2ae,0.0,1,Directpurchase,0
3087,rbos-67ebafd2-f742-477d-9f87-d475f7917bee,0.0,1,Directpurchase,1
3088,rbos-c465e228-c971-40d2-9e3e-c5530975d2f3,0.0,1,organic searchpurchase,1
3089,7011987809085080916,0.0,1,organic searchpurchase,1
3090,rbos-16d0372d-e818-4167-af40-9283a150cff0,0.0,1,organic searchpurchase,1
3091,rbos-7dd5dc78-9b69-4871-aaba-84cf26d4f4ff,0.0,1,organic searchpurchase,1
3092,rbos-60d2d1eb-9234-4f45-b28f-337827f4d3e6,0.0,1,organic searchpurchase,1
3093,rbos-9b2f6064-ca97-4cad-85ea-e5439cf68028,0.0,1,organic searchpurchase,1
3094,rbos-34e085ba-cb06-433b-b013-9d8ab3716ada,0.0,1,organic searchpurchase,1
3095,5707539020327469277,0.0,1,organic searchpurchase,1
3096,rbos-952c647e-6dd7-429c-973a-e37c86930308,904.0,2,organic searchsmspurchase,1
3097,rbos-56340c34-993b-43c3-b710-98773c3a6ea2,53122.0,2,organic searchpaid socialpurchase,1
